Bevölkerung nach Alter, Geschlecht und Gemeinden, 2012-2015 | population by age, sex and lau2, 2012-2015;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;AGE_GROUP;POP_TOTAL;POP_MALE;POP_FEMALE;YEAR
AT1;AT12;AT121;30508;Ennsdorf;10_14;184;96;88;2015
AT1;AT12;AT121;30508;Ennsdorf;15_19;192;100;92;2015
AT1;AT12;AT121;30508;Ennsdorf;20_24;168;86;82;2015
AT1;AT12;AT121;30508;Ennsdorf;25_29;169;80;89;2015
AT1;AT12;AT121;30508;Ennsdorf;30_34;220;117;103;2015
AT1;AT12;AT121;30508;Ennsdorf;35_39;195;93;102;2015
AT1;AT12;AT121;30508;Ennsdorf;40_44;264;134;130;2015
AT1;AT12;AT121;30508;Ennsdorf;45_49;254;137;117;2015
AT1;AT12;AT121;30508;Ennsdorf;50_54;233;121;112;2015
AT1;AT12;AT121;30508;Ennsdorf;55_59;165;84;81;2015
AT1;AT12;AT121;30508;Ennsdorf;60_64;133;66;67;2015
AT1;AT12;AT121;30508;Ennsdorf;65_69;125;61;64;2015
AT1;AT12;AT121;30508;Ennsdorf;70_74;136;54;82;2015
AT1;AT12;AT121;30508;Ennsdorf;75_79;91;47;44;2015
AT1;AT12;AT121;30508;Ennsdorf;80_84;64;24;40;2015
AT1;AT12;AT121;30508;Ennsdorf;85_89;24;6;18;2015
AT1;AT12;AT121;30508;Ennsdorf;90_94;9;5;4;2015
AT1;AT12;AT121;30508;Ennsdorf;95_;0;0;0;2015
AT1;AT12;AT121;30509;Ernsthofen;0_4;84;32;52;2015
AT1;AT12;AT121;30509;Ernsthofen;5_9;112;63;49;2015
AT1;AT12;AT121;30509;Ernsthofen;10_14;141;60;81;2015
AT1;AT12;AT121;30509;Ernsthofen;15_19;134;69;65;2015
AT1;AT12;AT121;30509;Ernsthofen;20_24;121;59;62;2015
AT1;AT12;AT121;30509;Ernsthofen;25_29;119;61;58;2015
AT1;AT12;AT121;30509;Ernsthofen;30_34;126;69;57;2015
AT1;AT12;AT121;30509;Ernsthofen;35_39;145;74;71;2015
AT1;AT12;AT121;30509;Ernsthofen;40_44;167;86;81;2015
AT1;AT12;AT121;30509;Ernsthofen;45_49;182;92;90;2015
AT1;AT12;AT121;30509;Ernsthofen;50_54;181;97;84;2015
AT1;AT12;AT121;30509;Ernsthofen;55_59;160;87;73;2015
AT1;AT12;AT121;30509;Ernsthofen;60_64;131;66;65;2015
AT1;AT12;AT121;30509;Ernsthofen;65_69;95;41;54;2015
AT1;AT12;AT121;30509;Ernsthofen;70_74;83;45;38;2015
AT1;AT12;AT121;30509;Ernsthofen;75_79;87;39;48;2015
AT1;AT12;AT121;30509;Ernsthofen;80_84;54;20;34;2015
AT1;AT12;AT121;30509;Ernsthofen;85_89;32;13;19;2015
AT1;AT12;AT121;30509;Ernsthofen;90_94;13;4;9;2015
AT1;AT12;AT121;30509;Ernsthofen;95_;0;0;0;2015
AT1;AT12;AT121;30510;Ertl;0_4;53;30;23;2015
AT1;AT12;AT121;30510;Ertl;5_9;81;40;41;2015
AT1;AT12;AT121;30510;Ertl;10_14;88;52;36;2015
AT1;AT12;AT121;30510;Ertl;15_19;92;41;51;2015
AT1;AT12;AT121;30510;Ertl;20_24;95;45;50;2015
AT1;AT12;AT121;30510;Ertl;25_29;72;46;26;2015
AT1;AT12;AT121;30510;Ertl;30_34;86;44;42;2015
AT1;AT12;AT121;30510;Ertl;35_39;88;43;45;2015
AT1;AT12;AT121;30510;Ertl;40_44;90;45;45;2015
AT1;AT12;AT121;30510;Ertl;45_49;109;57;52;2015
AT1;AT12;AT121;30510;Ertl;50_54;109;58;51;2015
AT1;AT12;AT121;30510;Ertl;55_59;76;38;38;2015
AT1;AT12;AT121;30510;Ertl;60_64;42;24;18;2015
AT1;AT12;AT121;30510;Ertl;65_69;40;19;21;2015
AT1;AT12;AT121;30510;Ertl;70_74;36;15;21;2015
AT1;AT12;AT121;30510;Ertl;75_79;47;23;24;2015
AT1;AT12;AT121;30510;Ertl;80_84;33;13;20;2015
AT1;AT12;AT121;30510;Ertl;85_89;18;9;9;2015
AT1;AT12;AT121;30510;Ertl;90_94;5;3;2;2015
AT1;AT12;AT121;30510;Ertl;95_;1;0;1;2015
AT1;AT12;AT121;30511;Euratsfeld;0_4;138;75;63;2015
AT1;AT12;AT121;30511;Euratsfeld;5_9;175;87;88;2015
AT1;AT12;AT121;30511;Euratsfeld;10_14;142;79;63;2015
AT1;AT12;AT121;30511;Euratsfeld;15_19;176;81;95;2015
AT1;AT12;AT121;30511;Euratsfeld;20_24;172;89;83;2015
AT1;AT12;AT121;30511;Euratsfeld;25_29;163;86;77;2015
AT1;AT12;AT121;30511;Euratsfeld;30_34;183;90;93;2015
AT1;AT12;AT121;30511;Euratsfeld;35_39;167;85;82;2015
AT1;AT12;AT121;30511;Euratsfeld;40_44;179;88;91;2015
AT1;AT12;AT121;30511;Euratsfeld;45_49;209;101;108;2015
AT1;AT12;AT121;30511;Euratsfeld;50_54;200;113;87;2015
AT1;AT12;AT121;30511;Euratsfeld;55_59;175;88;87;2015
